# Charges for the use of intellectual property (US$ millions)
#	Receipts	Payments
# Source: http://wdi.worldbank.org/table/5.13#
Afghanistan	0	16
Albania	2	23
Algeria	3	137
Argentina	161	2141
Aruba	0	10
Australia	965	4186
Austria	776	1543
Azerbaijan	0	28
Bangladesh	0	11
Barbados	3	19
Belarus	23	105
Belgium	2697	2736
Belize	3	2
Benin	0	3
Bermuda	0	10
Bhutan	0	0
Bolivia	9	43
Bosnia and Herzegovina	13	9
Botswana	0	13
Brazil	511	3666
Bulgaria	23	184
Burkina Faso	0	0
Burundi	0	0
Cambodia	4	11
Cameroon	0	7
Canada	3745	10867
Cape Verde	0	0
Chile	75	849
China	1044	17749
Hong Kong SAR China	459	2009
Colombia	90	527
Costa Rica	4	86
Cote d'Ivoire	0	17
Croatia	32	296
Cyprus	2	34
Czech Republic	199	819
Dominica	0	0
El Salvador	12	47
Estonia	19	61
Ethiopia	0	2
Faeroe Islands	1	9
Fiji	1	1
Finland	3316	1637
France	12408	9574
French Polynesia	0	4
Georgia	3	8
Germany	1387	12243
Greece	82	371
Grenada	0	6
Guatemala	21	84
Guyana	52	42
Haiti	7	1
Hungary	1095	1351
India	321	399
Indonesia	58	18
Iraq	0	5
Ireland	4997	42103
Israel	1057	1073
Italy	406	6049
Jamaica	5	47
Japan	31892	19898
Kenya	32	32
Korea Rep.	3436	8387
Kosovo	0	0
Kyrgyz Republic	3	8
Latvia	11	44
Lebanon	2	21
Lesotho	0	5
Lithuania	4	38
Luxembourg	721	568
Macedonia FYR	8	34
Malaysia	135	1532
Maldives	3	2
Mali	0	2
Malta	18	131
Mauritius	1	16
Mexico	96	112
Moldova	5	19
Mongolia	2	8
Montenegro	1	3
Morocco	2	57
Mozambique	3	8
Namibia	0	7
Netherlands	496	3421
New Caledonia	0	2
New Zealand	310	914
Norway	374	584
Pakistan	7	161
Panama	12	42
Peru	12	229
Philippines	8	504
Poland	229	2332
Portugal	47	453
Romania	237	451
Russian Federation	664	7629
Rwanda	30	1
Senegal	1	6
Serbia	36	175
Seychelles	0	0
Sierra Leone	1	0
Singapore	1649	16511
Slovak Republic	4	129
Slovenia	43	357
Solomon Islands	0	1
South Africa	67	2017
Spain	1275	2371
St. Kitts and Nevis	0	2
Sudan	2	0
Suriname	0	3
Swaziland	0	16
Sweden	6729	2349
Syrian Arab Republic	1	37
Tajikistan	0	0
Thailand	241	361
Togo	0	2
Tunisia	23	13
Uganda	20	11
Ukraine	124	727
United Kingdom	12462	8475
United States	124182	39889
Uruguay	0	34
Vanuatu	0	0
West Bank and Gaza	0	1
Yemen Rep.	33	5
